"","state","week_end_date","week_start_date","baseline_all_cause","baseline_all_cause_lower","baseline_all_cause_upper","all_cause_deaths","excess_all_cause_deaths","covid.death.hybrid","year","week","day","baseline_pi","baseline_pi_lower","baseline_pi_upper","pneumonia_influenza_covid","excess_pneumonia_influenza_covid","pic.denom","date","testN","covid.track.death","pop2019","test.week.per.capita","week_end"
"1","AK",2015-10-24,2015-10-18,79,62,97,75,-4,0,2015,42,1,4,1,8,6,2,75.5,NA,NA,NA,NA,NA,NA
"2","AK",2015-10-31,2015-10-25,79,62,98,67,-12,0,2015,43,1,3,0,8,3,0,67.5,NA,NA,NA,NA,NA,NA
"3","AK",2015-11-07,2015-11-01,79,62,98,78,-1,0,2015,44,1,4,1,8,2,-2,78.5,NA,NA,NA,NA,NA,NA
"4","AK",2015-11-14,2015-11-08,80,63,99,70,-10,0,2015,45,1,3,0,8,3,0,70.5,NA,NA,NA,NA,NA,NA
"5","AK",2015-11-21,2015-11-15,81,64,99,83,2,0,2015,46,1,4,1,9,4,0,83.5,NA,NA,NA,NA,NA,NA
"6","AK",2015-11-28,2015-11-22,81,64,100,84,3,0,2015,47,1,4,1,9,8,4,84.5,NA,NA,NA,NA,NA,NA
"7","AK",2015-12-05,2015-11-29,82,65,101,77,-5,0,2015,48,1,4,1,8,6,2,77.5,NA,NA,NA,NA,NA,NA
"8","AK",2015-12-12,2015-12-06,83,65,103,75,-8,0,2015,49,1,4,0,8,4,0,75.5,NA,NA,NA,NA,NA,NA
"9","AK",2015-12-19,2015-12-13,84,67,103,72,-12,0,2015,50,1,3,0,8,3,0,72.5,NA,NA,NA,NA,NA,NA
"10","AK",2015-12-26,2015-12-20,85,67,105,80,-5,0,2015,51,1,4,1,9,4,0,80.5,NA,NA,NA,NA,NA,NA
"11","AK",2016-01-02,2015-12-27,85,67,105,97,12,0,2015,52,1,5,1,10,7,2,97.5,NA,NA,NA,NA,NA,NA
"12","AK",2016-01-09,2016-01-03,85,67,105,81,-4,0,2016,1,1,4,1,9,1,-3,81.5,NA,NA,NA,NA,NA,NA
"13","AK",2016-01-16,2016-01-10,85,68,105,79,-6,0,2016,2,1,4,1,9,4,0,79.5,NA,NA,NA,NA,NA,NA
"14","AK",2016-01-23,2016-01-17,85,67,104,81,-4,0,2016,3,1,4,1,9,4,0,81.5,NA,NA,NA,NA,NA,NA
"15","AK",2016-01-30,2016-01-24,85,67,104,98,13,0,2016,4,1,5,1,11,7,2,98.5,NA,NA,NA,NA,NA,NA
"16","AK",2016-02-06,2016-01-31,84,66,103,77,-7,0,2016,5,1,4,1,9,3,-1,77.5,NA,NA,NA,NA,NA,NA
"17","AK",2016-02-13,2016-02-07,83,65,102,91,8,0,2016,6,1,5,1,11,6,1,91.5,NA,NA,NA,NA,NA,NA
"18","AK",2016-02-20,2016-02-14,81,64,100,74,-7,0,2016,7,1,4,1,9,2,-2,74.5,NA,NA,NA,NA,NA,NA
"19","AK",2016-02-27,2016-02-21,81,64,100,57,-24,0,2016,8,1,4,0,8,7,3,57.5,NA,NA,NA,NA,NA,NA
"20","AK",2016-03-05,2016-02-28,80,63,99,85,5,0,2016,9,1,5,1,11,8,3,85.5,NA,NA,NA,NA,NA,NA
"21","AK",2016-03-12,2016-03-06,79,62,98,85,6,0,2016,10,1,6,1,11,4,-2,85.5,NA,NA,NA,NA,NA,NA
"22","AK",2016-03-19,2016-03-13,79,62,97,82,3,0,2016,11,1,6,2,12,5,-1,82.5,NA,NA,NA,NA,NA,NA
"23","AK",2016-03-26,2016-03-20,78,61,97,80,2,0,2016,12,1,6,2,11,4,-2,80.5,NA,NA,NA,NA,NA,NA
"24","AK",2016-04-02,2016-03-27,79,62,97,81,2,0,2016,13,1,5,1,10,8,3,81.5,NA,NA,NA,NA,NA,NA
"25","AK",2016-04-09,2016-04-03,79,62,98,76,-3,0,2016,14,1,5,1,10,4,-1,76.5,NA,NA,NA,NA,NA,NA
"26","AK",2016-04-16,2016-04-10,79,63,98,88,9,0,2016,15,1,5,1,11,5,0,88.5,NA,NA,NA,NA,NA,NA
"27","AK",2016-04-23,2016-04-17,80,63,98,84,4,0,2016,16,1,5,1,11,2,-3,84.5,NA,NA,NA,NA,NA,NA
"28","AK",2016-04-30,2016-04-24,80,62,98,81,1,0,2016,17,1,5,1,11,7,2,81.5,NA,NA,NA,NA,NA,NA
